"Type","Name","Size_Bytes","LastWriteTime"
"DIR",".pnpm-store","1","4/19/2026 7:34:23 PM"
"DIR","Antigravity","1","4/18/2026 5:13:32 AM"
"DIR","Bane_NLP","1","4/20/2026 6:07:35 PM"
"DIR","BKUP","1","11/1/2025 7:04:48 PM"
"DIR","Meter-Reader-Pro","1","4/20/2026 4:14:46 PM"
"DIR","MYPROJECT","1","10/25/2025 8:09:21 PM"
"DIR","Project_Workspace","1","4/18/2026 4:15:50 AM"
"DIR","tmp","1","4/19/2026 8:21:06 PM"
"DIR","v","1","4/19/2026 11:05:37 PM"
"DIR","WebDev","1","10/25/2025 1:16:41 PM"
"FILE","Microsoft Office 2019 Pro Plus [16.0.10375.20036] [x64] [en-US] [VL] [June 2021].exe","1958972820","2/21/2025 8:33:20 PM"
